factura_nota;n_control;fecha_registro;mes;rif_cliente;fecha_auditoria;fecha_registro;cliente;codigo_producto;producto;estandar;unidad_medida; cajas_devueltas ;display_devueltos;paq_und_devueltas;lote;fecha_vencimiento;chofer;transporte;motivo;Tipo_de_devolucion;responsable;zona;asesor;nota_credito;recibida;comentarios;
30176;2029543;12/1/26;1;J-409990001;12/1/26;7/1/26;COMERCIAL TINITO BARCELONA, C.A.;DG0510;STICKS ACIDOS COLORIDOS 12P X 70G;12; CAJA ;1; -   ; -   ;;27/7/26;FERNANDO MARQUEZ;FLETY EXPRESS DEL CENTRO;DAÑADO;FISICO;OTROS;EDO. ANZOÁTEGUI;EN - ORIENTE NORTE;JOSE CANACHE;;SI;CF2036 - CF4025: PROBLEMAS DE CALIDAD - OK PARA LA VENTA / DG0509: 02 PAQS. FALTANTES - SE QUEDA CON LA CAJA / DG0510 - DG0803: OK PARA LA VENTA
30176;2029543;12/1/26;1;J-409990001;12/1/26;7/1/26;COMERCIAL TINITO BARCELONA, C.A.;DG0803;BITES ACIDOS SURTIDOS 24P X 80G;24; CAJA ;2; -   ; -   ;L140526;14/5/26;FERNANDO MARQUEZ;FLETY EXPRESS DEL CENTRO;DAÑADO;FISICO;OTROS;EDO. ANZOÁTEGUI;EN - ORIENTE NORTE;JOSE CANACHE;;SI;CF2036 - CF4025: PROBLEMAS DE CALIDAD - OK PARA LA VENTA / DG0509: 02 PAQS. FALTANTES - SE QUEDA CON LA CAJA / DG0510 - DG0803: OK PARA LA VENTA
30188;2029544;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;PC1007;PAPA CRUNCH QUESO 24U X 100G;24; CAJA ;3; -   ; -   ;LWP0125;10/4/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30188;2029544;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;PC1005;PAPA CRUNCH BARBECUE 24U X 100G;24; CAJA ;3; -   ; -   ;LWP0125;18/4/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30188;2029544;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;PC1003;PAPA CRUNCH CREMA Y CEBOLLA 24U X 100G;24; CAJA ;6; -   ; -   ;LWP0125;10/4/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30188;2029544;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;PC0353;PAPA CRUNCH CREMA Y CEBOLLA 50U X 35G;50; CAJA ;3; -   ; -   ;LWP0225;5/2/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30188;2029544;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;PC0351;PAPA CRUNCH ORIGINAL 50U X 35G;50; CAJA ;3; -   ; -   ;LWP0225;5/2/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30188;2029544;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;WG4024;PALMERITAS WYNCO SNACK PACK 6D X 24U;6; CAJA ;3; -   ; -   ;L25079;19/3/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30188;2029544;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;WG4048;PALMERITAS WYNCO FAMILY PACK 48C X 54G;48; CAJA ;10; -   ; -   ;L25080;20/3/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30188;2029544;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;WS0301;CRISPY POP CARAMELO 18U X 120G;18; CAJA ;5; -   ; -   ;L2306;23/3/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30188;2029544;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;WS0304;CRISPY POP CHOCOLATE 18U X 120G;18; CAJA ;3; -   ; -   ;L2406;24/3/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30187;2029545;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;GM1001;MARSHMALLOWS MULTICOLOR 70P X 100G;70; CAJA ;25; -   ; -   ;L72614;3/4/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30187;2029545;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;GM1002;MARSHMALLOWS BLANCO 70P X 100G;70; CAJA ;20; -   ; -   ;L79145;24/4/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30187;2029545;12/1/26;1;J-505147226;12/1/26;7/1/26;F&S DISTRIBUCION., C.A;PC1001;PAPA CRUNCH ORIGINAL 24U X 100G;24; CAJA ;5; -   ; -   ;LWP0125;10/4/26;JUAN LOZADA;FLETY EXPRESS DEL CENTRO;FECHA VENCIMIENTO;FISICO;VENTAS;EDO.BOLIVAR;EN - ORIENTE SUR;NEHOMAR PEREIRA;;SI;FEHA VENCIMIENTO
30215;2029546;13/1/26;1;J-311310819;13/1/26;8/1/26;SUPERMERCADO MERCA SOL, C.A.;JD1888;DUCREAM LOVE 18D X 18U;18; CAJA ;1; -   ; -   ;L240930;20/3/26;LEOMAR BADELL;BADELL;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO II;DIONERGI GUERRERO;;SI;FEHA VENCIMIENTO
30221;2029547;13/1/26;1;J-311310819;13/1/26;8/1/26;SUPERMERCADO MERCA SOL, C.A.;GM1002;MARSHMALLOWS BLANCO 70P X 100G;70; CAJA ;1; -   ; -   ;L79145;24/4/26;LEOMAR BADELL;BADELL;FECHA VENCIMIENTO;FISICO;VENTAS;EDO. CARABOBO;AV - CARABOBO II;DIONERGI GUERRERO;;SI;FEHA VENCIMIENTO
